corpus,layer,v,raw,ablated,verdict,q_median
C2,4,0.5,0.6589880252381988,0.6587038607232747,fail,9.0
C2,4,0.75,0.46057531094678494,0.45877450426206456,fail,29.0
C2,4,0.9,0.3816032385010813,0.37947732739021695,fail,63.0
C2,5,0.5,0.5712472878431086,0.5615873967223779,fail,13.0
C2,5,0.75,0.4241171641438214,0.4203771906185838,fail,37.0
C2,5,0.9,0.37671574744775943,0.37450921761870437,fail,72.0
C2,6,0.5,0.5944810129905035,0.5887073341007536,fail,12.0
C2,6,0.75,0.4420736831587362,0.43968352686126766,fail,36.0
C2,6,0.9,0.3686932135470071,0.3657342415038799,fail,70.0
C2,7,0.5,0.560034839773201,0.550362835377084,fail,13.0
C2,7,0.75,0.4187464640224534,0.4153608427429514,fail,38.0
C2,7,0.9,0.3550907341860171,0.3548589775564032,fail,73.0
C2,8,0.5,0.5224685857272107,0.510032482636978,fail,15.0
C2,8,0.75,0.39807859134990975,0.3942158003600892,fail,40.5
C2,8,0.9,0.3459938830813462,0.34373911382317035,fail,75.0
C2,9,0.5,0.5105676883741423,0.4983221330857053,fail,15.0
C2,9,0.75,0.38693840293487647,0.38235091236130214,fail,42.0
C2,9,0.9,0.3308034301921905,0.3282487255183214,fail,78.0
C2,10,0.5,0.511023788094864,0.49126288419513253,fail,16.0
C2,10,0.75,0.38030854090377153,0.37266112415051456,fail,43.0
C2,10,0.9,0.3252598344871778,0.31962628753583644,fail,79.0
C2,11,0.5,0.5040020650646231,0.4953118676567462,fail,16.0
C2,11,0.75,0.3727654936341286,0.36797164108682634,fail,44.0
C2,11,0.9,0.3201943325930504,0.31910666213499306,fail,79.0
C2,12,0.5,0.49659246238491384,0.48619496276866914,fail,16.0
C2,12,0.75,0.3674047129604574,0.36083206522707933,fail,44.0
C2,12,0.9,0.31516709591392583,0.312726379606759,fail,80.0
C2,13,0.5,0.5111792837780103,0.4962283510166213,fail,15.0
C2,13,0.75,0.3820792829241394,0.372745772976386,fail,43.0
C2,13,0.9,0.3277924912342737,0.3232638731311966,fail,79.0
C2,14,0.5,0.5143952394252242,0.4968239490042159,fail,15.0
C2,14,0.75,0.37273894745080005,0.3678845662289415,fail,44.0
C2,14,0.9,0.31797118649428713,0.3157922185372988,fail,80.0
C2,15,0.5,0.5049211544325922,0.48424359609153683,fail,16.0
C2,15,0.75,0.36460398276799955,0.3562681905814256,fail,44.5
C2,15,0.9,0.31350146617441443,0.30833633823967543,fail,80.0
C2,16,0.5,0.4946378687146912,0.47484731555010595,fail,16.0
C2,16,0.75,0.3526049437625738,0.34491397377359945,fail,44.5
C2,16,0.9,0.3099922700404829,0.30383094525396204,fail,79.0
C2,17,0.5,0.4868135548104093,0.471214942498661,fail,16.0
C2,17,0.75,0.3482319847415647,0.34086120588115476,fail,44.0
C2,17,0.9,0.30736825419573166,0.3036381021738509,fail,79.0
C2,18,0.5,0.45960897442466964,0.4453410357043157,fail,17.0
C2,18,0.75,0.32827311968037964,0.32250963783173814,fail,44.0
C2,18,0.9,0.29615583900128595,0.29155303932369037,fail,78.0
C2,19,0.5,0.44803130038106354,0.44136546062517135,fail,16.0
C2,19,0.75,0.3221640591556722,0.31879978775608453,fail,44.0
C2,19,0.9,0.29250568725581205,0.29321252736083675,fail,77.0
C2,20,0.5,0.437010048685732,0.4222593058626336,fail,16.0
C2,20,0.75,0.3158054847625293,0.3069549673660733,fail,43.0
C2,20,0.9,0.28692982753010154,0.28254419056414615,fail,76.0
C2,21,0.5,0.42840772605658495,0.4069796459546876,fail,16.0
C2,21,0.75,0.3066142324210919,0.2975486224645243,fail,43.0
